code,category,name,uri1,uri2,uri3,uri4,uri5,eiri1,eiri2,eiri3,eiri4,eiri5,kei1,kei2,kei3,kei4,kei5,uri2_1,uri2_2,uri2_3,uri2_4,uri2_5,eiri2_1,eiri2_2,eiri2_3,eiri2_4,eiri2_5,kei2_1,kei2_2,kei2_3,kei2_4,kei2_5,dividend
1301,食品製造,極洋,"256,151","262,519","249,197","253,575","272,167","3,831","2,918","4,657","6,392","8,105","4,434","3,608","4,879","6,904","8,182","126,884","116,861","120,880","133,619","126,075",735,"1,379","3,222","5,375","3,996","1,128","1,505","3,428","5,805","4,142",10.0
1332,食品製造,ニッスイ,"712,111","690,016","615,044","693,682","768,181","21,685","22,834","17,998","27,076","24,488","25,358","25,807","22,670","32,372","27,776","345,402","300,285","339,611","377,207","407,134","11,077","6,911","13,866","13,332","16,275","12,138","8,902","16,162","14,716","17,018",10.0
1333,食品製造,マルハニチロ,"922,468","905,204","809,050","866,702","1,020,456","21,758","17,079","16,172","23,819","29,575","25,233","19,901","18,093","27,596","33,500","447,007","391,982","412,220","485,241","507,356","9,896","10,246","12,460","15,933","16,757","11,496","11,843","13,856","21,209","20,914",35.0
1375,食品製造,雪国まいたけ,"47,592","50,759","51,380","47,081","42,204","6,491","6,691","7,823","4,975","2,191","6,321","6,646","7,125","4,564","1,794",-,"22,655","20,504","17,513","18,806",-,"3,280","2,551",814,"1,069",-,"3,019","2,341",620,864,1.0
1376,繊維・化学・製紙卸,カネコ種苗,"58,592","58,179","60,779","60,691","62,179","1,785","1,487","1,661","1,835","1,785","1,899","1,613","1,765","1,909","1,913","25,141","25,106","26,181","25,905","28,276",351,152,246,261,534,393,215,300,337,598,11.0
1377,バイオ・医薬品関連,サカタのタネ,"62,746","61,667","69,218","73,049","77,263","7,717","7,482","9,725","11,181","10,918","8,331","8,070","10,078","12,114","12,304","29,135","28,668","31,524","32,704","37,994","3,844","3,840","5,640","5,688","5,550","4,302","4,310","5,772","6,163","6,507",25.0
1379,食品製造,ホクト,"70,183","71,220","73,889","70,932","72,980","3,682","3,923","6,012","2,014","－2,948","4,610","4,187","6,526","3,658","－1,854","32,143","33,610","31,497","31,617","34,862",－960,997,－913,"－4,397","－1,975","－1,071",980,－725,"－2,769",－668,10.0
1384,食品製造,ホクリヨウ,"12,763","13,416","13,060","15,359","17,823",153,139,152,878,"1,318",221,198,226,942,"1,383","6,377","6,400","8,019","8,198","9,673",－359,17,"1,287",618,"1,856",－330,56,"1,322",655,"1,892",20.0
1414,建設・土木,ショーボンドホールディングス,"60,824","67,590","80,065","81,193","83,924","11,727","12,930","15,732","17,267","18,124","12,165","13,507","16,302","17,669","18,637","29,635","30,871","40,002","39,622","38,421","5,615","5,897","7,675","8,574","8,139","5,775","6,002","7,998","8,656","8,288",55.0
1417,建設・土木,ミライト・ワン,"375,911","441,166","463,744","470,385","483,987","20,699","21,993","30,129","32,804","21,803","21,992","23,207","31,739","34,152","22,384","182,973","191,788","211,851","202,085","216,640","4,958","6,744","11,071",899,"2,364","5,587","7,748","11,700","1,444","3,158",30.0
